Gene	Is gene significantly up- or downregulated in aging MII oocytes?	Source	Species
ENSG00000254146	up	Llonch 2021	human
FGD3	up	Llonch 2021	human
DSG2.AS1	up	Llonch 2021	human
RPS6KC1	up	Llonch 2021	human
ARHGEF12	up	Llonch 2021	human
EIF2AK4	up	Llonch 2021	human
SLC22A20P	up	Llonch 2021	human
PHF5A	up	Llonch 2021	human
ZMYND8	up	Llonch 2021	human
FAM193A	up	Llonch 2021	human
MCRS1	up	Llonch 2021	human
RBM27.1	up	Llonch 2021	human
CDCA7L	up	Llonch 2021	human
LOC101928489	up	Llonch 2021	human
ZMAT2	up	Llonch 2021	human
SIK2	up	Llonch 2021	human
TTC1	up	Llonch 2021	human
TARS	up	Llonch 2021	human
NAA35	up	Llonch 2021	human
SSPN	up	Llonch 2021	human
MEN1	up	Llonch 2021	human
SRSF11	up	Llonch 2021	human
SHQ1	up	Llonch 2021	human
HECW2	up	Llonch 2021	human
TRIM26	up	Llonch 2021	human
LDB2	up	Llonch 2021	human
CCDC77	up	Llonch 2021	human
NUP133	up	Llonch 2021	human
UTP15	up	Llonch 2021	human
RFC1	up	Llonch 2021	human
MIR302CHG	up	Llonch 2021	human
ACOX3	up	Llonch 2021	human
NSRP1	up	Llonch 2021	human
TMCC1	up	Llonch 2021	human
MORC2	up	Llonch 2021	human
SEC62	up	Llonch 2021	human
DDX24	up	Llonch 2021	human
ENSG00000228589	up	Llonch 2021	human
LOC100506207	up	Llonch 2021	human
RNF219	up	Llonch 2021	human
CDKL3	up	Llonch 2021	human
CPVL	up	Llonch 2021	human
ENSG00000250299	up	Llonch 2021	human
IQUB	up	Llonch 2021	human
ENSG00000226478	up	Llonch 2021	human
KNOP1	up	Llonch 2021	human
ENSG00000285763	up	Llonch 2021	human
SECISBP2	up	Llonch 2021	human
CHD8	up	Llonch 2021	human
GOLGA4	up	Llonch 2021	human
TLE4	up	Llonch 2021	human
BOD1L1	up	Llonch 2021	human
LMOD3	up	Llonch 2021	human
ARNTL	up	Llonch 2021	human
PRRC2C	up	Llonch 2021	human
TTF1	up	Llonch 2021	human
PNN	up	Llonch 2021	human
KTN1	up	Llonch 2021	human
SLU7	up	Llonch 2021	human
ANKRD49	up	Llonch 2021	human
CKAP5	up	Llonch 2021	human
LOC105376072	up	Llonch 2021	human
USP10	up	Llonch 2021	human
TPX2	up	Llonch 2021	human
ASH1L	up	Llonch 2021	human
SCAPER	up	Llonch 2021	human
ENSG00000262921	up	Llonch 2021	human
OPHN1	up	Llonch 2021	human
RBM25	up	Llonch 2021	human
TDRD1	up	Llonch 2021	human
ZKSCAN5	up	Llonch 2021	human
SMC4	up	Llonch 2021	human
EPB41L2	up	Llonch 2021	human
TOP1	up	Llonch 2021	human
ENSG00000287701	up	Llonch 2021	human
CHCHD6	up	Llonch 2021	human
CDT1	up	Llonch 2021	human
LOC100287896	up	Llonch 2021	human
CCDC59	up	Llonch 2021	human
NAP1L4	up	Llonch 2021	human
UBR5	up	Llonch 2021	human
TRIM21	up	Llonch 2021	human
RSF1	up	Llonch 2021	human
CDC27	up	Llonch 2021	human
FASTKD1	up	Llonch 2021	human
FAM210B	up	Llonch 2021	human
NIPBL	up	Llonch 2021	human
RUFY1	up	Llonch 2021	human
KCNH5	up	Llonch 2021	human
SEC24B.AS1	up	Llonch 2021	human
TENM4	up	Llonch 2021	human
RAP2C	up	Llonch 2021	human
CEP83	up	Llonch 2021	human
SH2D1A	up	Llonch 2021	human
KIF4A	up	Llonch 2021	human
DCAF5	up	Llonch 2021	human
ASPM	up	Llonch 2021	human
DYNC1I2	up	Llonch 2021	human
PCNT	up	Llonch 2021	human
ZNF765	up	Llonch 2021	human
CHML	up	Llonch 2021	human
KRR1	up	Llonch 2021	human
WDHD1	up	Llonch 2021	human
ACIN1	up	Llonch 2021	human
ZBED9	up	Llonch 2021	human
MGME1	up	Llonch 2021	human
ANKRD20A1	up	Llonch 2021	human
TFAP2A	up	Llonch 2021	human
C5	up	Llonch 2021	human
THUMPD3	up	Llonch 2021	human
SMC5	up	Llonch 2021	human
LAMP3	up	Llonch 2021	human
ENSG00000226798	up	Llonch 2021	human
KIF5B	up	Llonch 2021	human
ENSG00000236511	up	Llonch 2021	human
CAPN12	up	Llonch 2021	human
NLRP14	up	Llonch 2021	human
ENSG00000225446	up	Llonch 2021	human
ZNF555	up	Llonch 2021	human
GPHN	up	Llonch 2021	human
MICU1	up	Llonch 2021	human
MIA3	up	Llonch 2021	human
PBRM1	up	Llonch 2021	human
SMARCD2	up	Llonch 2021	human
EML4	up	Llonch 2021	human
CDC25A	up	Llonch 2021	human
MTO1	up	Llonch 2021	human
CENPS.CORT	up	Llonch 2021	human
CXorf40B	up	Llonch 2021	human
ENSG00000258081	up	Llonch 2021	human
PHYH	up	Llonch 2021	human
ENSG00000231040	up	Llonch 2021	human
FAM98A	up	Llonch 2021	human
SYCP2	up	Llonch 2021	human
XPA	up	Llonch 2021	human
CNTROB	up	Llonch 2021	human
DDX21	up	Llonch 2021	human
CLIP1	up	Llonch 2021	human
ZCWPW1	up	Llonch 2021	human
GGA3	up	Llonch 2021	human
FRA10AC1	up	Llonch 2021	human
TXNDC12	up	Llonch 2021	human
TFIP11	up	Llonch 2021	human
CCDC173	up	Llonch 2021	human
PSTK	up	Llonch 2021	human
PIH1D2	up	Llonch 2021	human
SRRM1	up	Llonch 2021	human
FEZ2	up	Llonch 2021	human
CFAP47	up	Llonch 2021	human
NARS	up	Llonch 2021	human
ANKRD52	up	Llonch 2021	human
SRI	up	Llonch 2021	human
TMC5	up	Llonch 2021	human
AGO1	up	Llonch 2021	human
FAM45A	up	Llonch 2021	human
ENSG00000259781	up	Llonch 2021	human
C1orf131	up	Llonch 2021	human
KIF27	up	Llonch 2021	human
NCOR1	up	Llonch 2021	human
CNTD1	up	Llonch 2021	human
ENSG00000258177	up	Llonch 2021	human
C5orf63	up	Llonch 2021	human
PPIL4	up	Llonch 2021	human
PHAX	up	Llonch 2021	human
GBA2	up	Llonch 2021	human
ENSG00000286530	up	Llonch 2021	human
KLC1	up	Llonch 2021	human
ENSG00000267606	up	Llonch 2021	human
EML5	up	Llonch 2021	human
PRC1	up	Llonch 2021	human
STX10	up	Llonch 2021	human
RNMT	up	Llonch 2021	human
LINC.ROR	up	Llonch 2021	human
ARID4A	up	Llonch 2021	human
SAP30BP	up	Llonch 2021	human
TLL1	up	Llonch 2021	human
GPANK1	up	Llonch 2021	human
SEC14L6	up	Llonch 2021	human
ENSG00000232642	up	Llonch 2021	human
ZRANB2	up	Llonch 2021	human
KLHDC1	up	Llonch 2021	human
ZNF761.1	up	Llonch 2021	human
SLC6A14	up	Llonch 2021	human
TOB1	up	Llonch 2021	human
SDAD1	up	Llonch 2021	human
MIPOL1	up	Llonch 2021	human
ENSG00000250848	up	Llonch 2021	human
MINDY2	up	Llonch 2021	human
SH3BP4	up	Llonch 2021	human
OPTN	up	Llonch 2021	human
ENSG00000280038	up	Llonch 2021	human
THRA	up	Llonch 2021	human
PPP1R12A	up	Llonch 2021	human
CENPF	up	Llonch 2021	human
IRF1	up	Llonch 2021	human
ENSG00000260920	up	Llonch 2021	human
TRMT13	up	Llonch 2021	human
SLC35D1	up	Llonch 2021	human
ENSG00000233868	up	Llonch 2021	human
ENSG00000272851	up	Llonch 2021	human
GTPBP10	up	Llonch 2021	human
LARP1B	up	Llonch 2021	human
ENSG00000278238	up	Llonch 2021	human
PKIG	up	Llonch 2021	human
CCDC174	up	Llonch 2021	human
CDCA2	up	Llonch 2021	human
PRR14L	up	Llonch 2021	human
KIF18A	up	Llonch 2021	human
SPTY2D1	up	Llonch 2021	human
PNISR	up	Llonch 2021	human
RAD50	up	Llonch 2021	human
ADAMTS19.AS1	up	Llonch 2021	human
PHF20	up	Llonch 2021	human
SPCS2	up	Llonch 2021	human
PRPF4B	up	Llonch 2021	human
SP6	up	Llonch 2021	human
LINC01291	up	Llonch 2021	human
FOCAD	up	Llonch 2021	human
TRADD	up	Llonch 2021	human
BAZ1B	up	Llonch 2021	human
ZNF394	up	Llonch 2021	human
ZNF839	up	Llonch 2021	human
CLCN5	up	Llonch 2021	human
ING3	up	Llonch 2021	human
SRBD1	up	Llonch 2021	human
RNF121	up	Llonch 2021	human
ARHGAP5	up	Llonch 2021	human
CA5B	up	Llonch 2021	human
CASP6	up	Llonch 2021	human
EXOC4	up	Llonch 2021	human
CCDC82	up	Llonch 2021	human
C3orf52	up	Llonch 2021	human
NTN4	up	Llonch 2021	human
SIN3A	up	Llonch 2021	human
F11.AS1	up	Llonch 2021	human
ENSG00000257386	up	Llonch 2021	human
FAM83E	up	Llonch 2021	human
RGPD6	up	Llonch 2021	human
DBF4	up	Llonch 2021	human
KIF4B	up	Llonch 2021	human
PNPLA4	up	Llonch 2021	human
WARS	up	Llonch 2021	human
HSP90AB1	up	Llonch 2021	human
LOC101928978	up	Llonch 2021	human
ENSG00000179362	up	Llonch 2021	human
POLD3	up	Llonch 2021	human
WDR60	up	Llonch 2021	human
FOXP1	up	Llonch 2021	human
NAIP	up	Llonch 2021	human
PRR11	up	Llonch 2021	human
ZNF526	up	Llonch 2021	human
ENSG00000250131	up	Llonch 2021	human
RNF20	up	Llonch 2021	human
UBAP2	up	Llonch 2021	human
ZSCAN2	up	Llonch 2021	human
PPP1R12B	up	Llonch 2021	human
BOLA2	up	Llonch 2021	human
DHX9	up	Llonch 2021	human
LOC102724710	up	Llonch 2021	human
MYBBP1A	up	Llonch 2021	human
PPP2R2B	up	Llonch 2021	human
OFD1	up	Llonch 2021	human
MAP3K4	up	Llonch 2021	human
LINC00301	up	Llonch 2021	human
MTR	up	Llonch 2021	human
NCAPG	up	Llonch 2021	human
ENSG00000175841	up	Llonch 2021	human
LRP1B	up	Llonch 2021	human
FSIP2	up	Llonch 2021	human
GDPD4	up	Llonch 2021	human
CNTRL	up	Llonch 2021	human
RP9	up	Llonch 2021	human
ENSG00000125631	up	Llonch 2021	human
EXT2	up	Llonch 2021	human
PQLC2	up	Llonch 2021	human
FAM160B1	up	Llonch 2021	human
DENND4C	up	Llonch 2021	human
NSUN3	up	Llonch 2021	human
NSD3	up	Llonch 2021	human
ENSG00000278384	up	Llonch 2021	human
IK	up	Llonch 2021	human
VRTN	up	Llonch 2021	human
LMBR1L	up	Llonch 2021	human
USP36	up	Llonch 2021	human
BOLA2.SMG1P6	up	Llonch 2021	human
MED1	up	Llonch 2021	human
UFL1	up	Llonch 2021	human
CTTNBP2NL	up	Llonch 2021	human
ERGIC2	up	Llonch 2021	human
ZNF182	up	Llonch 2021	human
KIF3A	up	Llonch 2021	human
GMEB1	up	Llonch 2021	human
CDH13	up	Llonch 2021	human
ZNF781	up	Llonch 2021	human
RBM34	up	Llonch 2021	human
ENSG00000257452	up	Llonch 2021	human
RAB8A	up	Llonch 2021	human
METTL18	up	Llonch 2021	human
CTNNBL1	up	Llonch 2021	human
IWS1	up	Llonch 2021	human
PPP2R3C	up	Llonch 2021	human
SSB	up	Llonch 2021	human
USP3.AS1	up	Llonch 2021	human
PRKAR2A.AS1	up	Llonch 2021	human
MARK3	up	Llonch 2021	human
FNBP1	up	Llonch 2021	human
HTR2A	up	Llonch 2021	human
FSTL4	up	Llonch 2021	human
KIAA1257	up	Llonch 2021	human
ENSG00000250829	up	Llonch 2021	human
ENSG00000280241	up	Llonch 2021	human
SUGT1P4.STRA6LP	up	Llonch 2021	human
SMARCAD1	up	Llonch 2021	human
LTA4H	up	Llonch 2021	human
JARID2	up	Llonch 2021	human
LINC00887	up	Llonch 2021	human
PFDN6	up	Llonch 2021	human
CLOCK	up	Llonch 2021	human
TLN2	up	Llonch 2021	human
TRAF5	up	Llonch 2021	human
HESX1	up	Llonch 2021	human
DDX52	up	Llonch 2021	human
CARS	up	Llonch 2021	human
RAD51B	up	Llonch 2021	human
ENSG00000253100	up	Llonch 2021	human
DDX58	up	Llonch 2021	human
DNAJC7	up	Llonch 2021	human
CEP162	up	Llonch 2021	human
FKBP15	up	Llonch 2021	human
RNF187	up	Llonch 2021	human
PABPN1	up	Llonch 2021	human
ENSG00000230183	up	Llonch 2021	human
GRAMD2B	up	Llonch 2021	human
KIF15	up	Llonch 2021	human
TERB1	up	Llonch 2021	human
CEP89	up	Llonch 2021	human
ZNF888	up	Llonch 2021	human
ALDOA	up	Llonch 2021	human
ETFDH	up	Llonch 2021	human
ENSG00000286388	up	Llonch 2021	human
XPC	up	Llonch 2021	human
SYF2	up	Llonch 2021	human
TAF3	up	Llonch 2021	human
TBXAS1	up	Llonch 2021	human
ENSG00000229097	up	Llonch 2021	human
CYP46A1	up	Llonch 2021	human
ZFHX3	up	Llonch 2021	human
TAF1C	up	Llonch 2021	human
SREK1	up	Llonch 2021	human
ENSG00000267669	up	Llonch 2021	human
ARFRP1	up	Llonch 2021	human
ZNF337	up	Llonch 2021	human
PLA2G4F	up	Llonch 2021	human
HUWE1	up	Llonch 2021	human
TMEM251	up	Llonch 2021	human
ZCWPW2.1	up	Llonch 2021	human
PPAT	up	Llonch 2021	human
CCDC73	up	Llonch 2021	human
GGNBP2	up	Llonch 2021	human
XRN2	up	Llonch 2021	human
CFAP46	up	Llonch 2021	human
MAPKAPK2	up	Llonch 2021	human
ZNF326	up	Llonch 2021	human
PRKD1	up	Llonch 2021	human
BCAS3	up	Llonch 2021	human
ENSG00000238287	up	Llonch 2021	human
ODR4	up	Llonch 2021	human
KLF16	up	Llonch 2021	human
LOC105373878	up	Llonch 2021	human
EPN2	up	Llonch 2021	human
TEPSIN	up	Llonch 2021	human
IP6K2	up	Llonch 2021	human
ENSG00000261458	up	Llonch 2021	human
USP2	up	Llonch 2021	human
HAUS7	up	Llonch 2021	human
SAFB2	up	Llonch 2021	human
UBE3A	up	Llonch 2021	human
CHD1L	up	Llonch 2021	human
ARHGAP18	up	Llonch 2021	human
ENSG00000240240	up	Llonch 2021	human
HAUS5	up	Llonch 2021	human
C21orf59.TCP10L	up	Llonch 2021	human
PRR36	up	Llonch 2021	human
SHLD2	up	Llonch 2021	human
LINC01399	up	Llonch 2021	human
ABCG5	up	Llonch 2021	human
KIAA0232	up	Llonch 2021	human
IGSF5	up	Llonch 2021	human
HERC2	up	Llonch 2021	human
KCNH8	up	Llonch 2021	human
RANBP3	up	Llonch 2021	human
ENSG00000249307	up	Llonch 2021	human
PRIM1	up	Llonch 2021	human
ZNF841	up	Llonch 2021	human
MFAP1	up	Llonch 2021	human
ENSG00000258634	up	Llonch 2021	human
DDIT4L	up	Llonch 2021	human
TTI1	up	Llonch 2021	human
DDX60L	up	Llonch 2021	human
ENSG00000232573	up	Llonch 2021	human
INCENP	up	Llonch 2021	human
ENSG00000255624	up	Llonch 2021	human
CDH2	up	Llonch 2021	human
LRRC69	up	Llonch 2021	human
ENSG00000287593	up	Llonch 2021	human
RECQL	up	Llonch 2021	human
ENSG00000278974	up	Llonch 2021	human
WBP11	up	Llonch 2021	human
MYCBP2	up	Llonch 2021	human
ENSG00000235726	up	Llonch 2021	human
ABCB7	up	Llonch 2021	human
ENSG00000242593	up	Llonch 2021	human
TOP2A	up	Llonch 2021	human
CNGB3	up	Llonch 2021	human
ENSG00000260958	up	Llonch 2021	human
EMC3	up	Llonch 2021	human
ELP6	up	Llonch 2021	human
ZNF43	up	Llonch 2021	human
B3GALNT2	up	Llonch 2021	human
CENPM	up	Llonch 2021	human
PCBP1.AS1	up	Llonch 2021	human
RTF1	up	Llonch 2021	human
ENSG00000259153	up	Llonch 2021	human
BAZ2B	up	Llonch 2021	human
REV1	up	Llonch 2021	human
GNL2	up	Llonch 2021	human
TOGARAM1	up	Llonch 2021	human
ENSG00000260412	up	Llonch 2021	human
SQSTM1	up	Llonch 2021	human
FOCAD.AS1	up	Llonch 2021	human
SELENOS	up	Llonch 2021	human
PITPNB	up	Llonch 2021	human
CHAF1A	up	Llonch 2021	human
NCBP1	up	Llonch 2021	human
SP140	up	Llonch 2021	human
ENSG00000269929	up	Llonch 2021	human
MRPS18A	up	Llonch 2021	human
GTF2I	up	Llonch 2021	human
ENSG00000272933	up	Llonch 2021	human
TRPC6	up	Llonch 2021	human
GABPB2	up	Llonch 2021	human
ENSG00000265188	up	Llonch 2021	human
GVQW3	up	Llonch 2021	human
AQR	up	Llonch 2021	human
SON	up	Llonch 2021	human
ENSG00000283757	up	Llonch 2021	human
ZNF425	up	Llonch 2021	human
ZIM2.AS1	up	Llonch 2021	human
SCOC.AS1	up	Llonch 2021	human
TOP2B	up	Llonch 2021	human
EFHC1	up	Llonch 2021	human
CELA2B	up	Llonch 2021	human
ENSG00000287387	up	Llonch 2021	human
BRCA2	up	Llonch 2021	human
EVL	up	Llonch 2021	human
ISL1	up	Llonch 2021	human
SH3TC2	up	Llonch 2021	human
CENPC	up	Llonch 2021	human
CCDC88A	up	Llonch 2021	human
BRCC3	up	Llonch 2021	human
CD109	up	Llonch 2021	human
ESF1	up	Llonch 2021	human
ENSG00000279208	up	Llonch 2021	human
ENSG00000256661	up	Llonch 2021	human
BRIP1	up	Llonch 2021	human
ENSG00000254777	up	Llonch 2021	human
PTRH2	up	Llonch 2021	human
CSNK2A1	up	Llonch 2021	human
SNHG20	up	Llonch 2021	human
NEFH	up	Llonch 2021	human
KDELR3	up	Llonch 2021	human
FOXRED2	up	Llonch 2021	human
IPO5	up	Llonch 2021	human
PP2D1	up	Llonch 2021	human
RB1CC1	up	Llonch 2021	human
ENSG00000227042	up	Llonch 2021	human
TTC4	up	Llonch 2021	human
MTFR1L	up	Llonch 2021	human
RAD18	up	Llonch 2021	human
ENSG00000255073	up	Llonch 2021	human
EDC3	up	Llonch 2021	human
CWF19L2	up	Llonch 2021	human
ARHGAP10	up	Llonch 2021	human
ENSG00000227627	up	Llonch 2021	human
ENSG00000254731	up	Llonch 2021	human
USP16	up	Llonch 2021	human
FDFT1	up	Llonch 2021	human
EIF4G3	up	Llonch 2021	human
HNRNPA3	up	Llonch 2021	human
LOC100128164	up	Llonch 2021	human
USP34	up	Llonch 2021	human
GIGYF2	up	Llonch 2021	human
ANP32E	up	Llonch 2021	human
ZGRF1	up	Llonch 2021	human
CSRNP1	up	Llonch 2021	human
PPP1R16A	up	Llonch 2021	human
MIR202HG	up	Llonch 2021	human
SYNE3	up	Llonch 2021	human
ANKRD36BP2	up	Llonch 2021	human
ENSG00000265750	up	Llonch 2021	human
ENSG00000268678	up	Llonch 2021	human
C19orf18	up	Llonch 2021	human
ENSG00000262904	up	Llonch 2021	human
ENSG00000264990	up	Llonch 2021	human
ENSG00000278376	up	Llonch 2021	human
CETN2	up	Llonch 2021	human
ENSG00000259768	up	Llonch 2021	human
MTIF3	up	Llonch 2021	human
IQCD	up	Llonch 2021	human
VDAC3	up	Llonch 2021	human
NCDN	up	Llonch 2021	human
SAMD4A	up	Llonch 2021	human
EHD1	up	Llonch 2021	human
ODF2L	up	Llonch 2021	human
TTN	up	Llonch 2021	human
NR5A2	up	Llonch 2021	human
METTL4	up	Llonch 2021	human
MTUS1	up	Llonch 2021	human
ENSG00000132967	up	Llonch 2021	human
ZNRD1ASP	up	Llonch 2021	human
ENSG00000228952	up	Llonch 2021	human
IFT52	up	Llonch 2021	human
CCT6B	up	Llonch 2021	human
ACBD3	up	Yuan 2021	human
ACTR3B	up	Yuan 2021	human
ADARB1	up	Yuan 2021	human
ADCK3	up	Yuan 2021	human
AFG3L2	up	Yuan 2021	human
ALG8	up	Yuan 2021	human
AMFR	up	Yuan 2021	human
ANKLE2	up	Yuan 2021	human
ANKRD52	up	Yuan 2021	human
ANKS1A	up	Yuan 2021	human
ANXA5	up	Yuan 2021	human
AP3D1	up	Yuan 2021	human
AP3M2	up	Yuan 2021	human
ARHGAP1	up	Yuan 2021	human
ARHGAP39	up	Yuan 2021	human
ARID4B	up	Yuan 2021	human
ASF1B	up	Yuan 2021	human
ASUN	up	Yuan 2021	human
ATN1	up	Yuan 2021	human
BAHCC1	up	Yuan 2021	human
BAZ1A	up	Yuan 2021	human
BAZ2A	up	Yuan 2021	human
BCAT2	up	Yuan 2021	human
BMS1	up	Yuan 2021	human
BRI3BP	up	Yuan 2021	human
C21orf58	up	Yuan 2021	human
CAP2	up	Yuan 2021	human
CAPN10	up	Yuan 2021	human
CCDC15	up	Yuan 2021	human
CCT6A	up	Yuan 2021	human
CDC34	up	Yuan 2021	human
CDCA3	up	Yuan 2021	human
CDK5RAP2	up	Yuan 2021	human
CELF1	up	Yuan 2021	human
CHD2	up	Yuan 2021	human
CHERP	up	Yuan 2021	human
CHRNA5	up	Yuan 2021	human
CHST10	up	Yuan 2021	human
CISH	up	Yuan 2021	human
CLINT1	up	Yuan 2021	human
COBLL1	up	Yuan 2021	human
CREB3	up	Yuan 2021	human
CREBBP	up	Yuan 2021	human
CSK	up	Yuan 2021	human
CTCF	up	Yuan 2021	human
CTNNAL1	up	Yuan 2021	human
CTR9	up	Yuan 2021	human
DDB1 	up	Yuan 2021	human
DDX39A	up	Yuan 2021	human
DENND4A	up	Yuan 2021	human
DES	up	Yuan 2021	human
DGCR6L	up	Yuan 2021	human
DKC1	up	Yuan 2021	human
DLG3	up	Yuan 2021	human
DMAP1	up	Yuan 2021	human
DNAAF2	up	Yuan 2021	human
DNAH5	up	Yuan 2021	human
DPM1	up	Yuan 2021	human
EGLN1	up	Yuan 2021	human
EIF2B4	up	Yuan 2021	human
EP300	up	Yuan 2021	human
ESPL1	up	Yuan 2021	human
ESR2	up	Yuan 2021	human
EXO1	up	Yuan 2021	human
EZH1	up	Yuan 2021	human
EZH2	up	Yuan 2021	human
FAM13A	up	Yuan 2021	human
FAM179B	up	Yuan 2021	human
FANCE	up	Yuan 2021	human
FBX043	up	Yuan 2021	human
FBXL12	up	Yuan 2021	human
FCHO1	up	Yuan 2021	human
FERMT2	up	Yuan 2021	human
FKBP15	up	Yuan 2021	human
FMNL1	up	Yuan 2021	human
FOS	up	Yuan 2021	human
FOSL2	up	Yuan 2021	human
FST	up	Yuan 2021	human
GALNT6	up	Yuan 2021	human
GALNT7	up	Yuan 2021	human
GEMIN5	up	Yuan 2021	human
GEN1	up	Yuan 2021	human
GIGYF2	up	Yuan 2021	human
GNA11	up	Yuan 2021	human
GOPC	up	Yuan 2021	human
GPN3	up	Yuan 2021	human
GRB2	up	Yuan 2021	human
GRB7	up	Yuan 2021	human
GRN	up	Yuan 2021	human
GTSE1	up	Yuan 2021	human
GYS1	up	Yuan 2021	human
HEATR6	up	Yuan 2021	human
HHEX	up	Yuan 2021	human
HIC2	up	Yuan 2021	human
HSD17B7	up	Yuan 2021	human
HSPA14	up	Yuan 2021	human
HTR7	up	Yuan 2021	human
HTT	up	Yuan 2021	human
HYAL2	up	Yuan 2021	human
IGDCC3	up	Yuan 2021	human
INTS5	up	Yuan 2021	human
INTU	up	Yuan 2021	human
JADE1	up	Yuan 2021	human
JUP	up	Yuan 2021	human
KDM1B	up	Yuan 2021	human
KDM5A	up	Yuan 2021	human
KDM5B	up	Yuan 2021	human
KIF11	up	Yuan 2021	human
KIF4A	up	Yuan 2021	human
KIF9	up	Yuan 2021	human
KLHL2	up	Yuan 2021	human
KMT2A	up	Yuan 2021	human
KRTCAP3	up	Yuan 2021	human
LACTB	up	Yuan 2021	human
LCA5L	up	Yuan 2021	human
LMF2	up	Yuan 2021	human
LRIG2	up	Yuan 2021	human
LYPLAT	up	Yuan 2021	human
MAFG	up	Yuan 2021	human
MAGI3	up	Yuan 2021	human
MAP2K5	up	Yuan 2021	human
MAP4	up	Yuan 2021	human
MAP4K5	up	Yuan 2021	human
MAPK9	up	Yuan 2021	human
MCM3AP	up	Yuan 2021	human
MECR	up	Yuan 2021	human
MEIS3	up	Yuan 2021	human
MGAT1	up	Yuan 2021	human
MK167	up	Yuan 2021	human
MMD	up	Yuan 2021	human
MPHOSPL	up	Yuan 2021	human
MPRIP	up	Yuan 2021	human
MPV17	up	Yuan 2021	human
MPV17L2	up	Yuan 2021	human
MTDH	up	Yuan 2021	human
MYBL1	up	Yuan 2021	human
MYCBP2	up	Yuan 2021	human
MYO9B	up	Yuan 2021	human
NCAPD2	up	Yuan 2021	human
NCK1	up	Yuan 2021	human
NCOR1	up	Yuan 2021	human
NEK5	up	Yuan 2021	human
NEK9	up	Yuan 2021	human
NELFB	up	Yuan 2021	human
NELFC	up	Yuan 2021	human
NME6	up	Yuan 2021	human
NUBPL	up	Yuan 2021	human
OFD1	up	Yuan 2021	human
OMA1	up	Yuan 2021	human
OPHN1	up	Yuan 2021	human
OPTN	up	Yuan 2021	human
PA2G4	up	Yuan 2021	human
PAPOLG	up	Yuan 2021	human
PARD3	up	Yuan 2021	human
PARP12	up	Yuan 2021	human
PAX8	up	Yuan 2021	human
PBX3	up	Yuan 2021	human
PHF10	up	Yuan 2021	human
PLK3	up	Yuan 2021	human
PNN	up	Yuan 2021	human
POMGNT2	up	Yuan 2021	human
POU2F2	up	Yuan 2021	human
PPIG	up	Yuan 2021	human
PPM1L	up	Yuan 2021	human
PPP4C	up	Yuan 2021	human
PRC1	up	Yuan 2021	human
PRIM1	up	Yuan 2021	human
PRKAR2B	up	Yuan 2021	human
PRKCI	up	Yuan 2021	human
PRR14	up	Yuan 2021	human
PUM1	up	Yuan 2021	human
RAB3IL1	up	Yuan 2021	human
RABGEF1	up	Yuan 2021	human
RAC1	up	Yuan 2021	human
RAD9A	up	Yuan 2021	human
RAI14	up	Yuan 2021	human
RBM25	up	Yuan 2021	human
RELT	up	Yuan 2021	human
REXO1	up	Yuan 2021	human
RNF20	up	Yuan 2021	human
RNF44	up	Yuan 2021	human
ROBO1	up	Yuan 2021	human
RPGR	up	Yuan 2021	human
RSBN1L	up	Yuan 2021	human
RSPH10B	up	Yuan 2021	human
RSPH3	up	Yuan 2021	human
RUVBL2	up	Yuan 2021	human
RYR1	up	Yuan 2021	human
SCRN3	up	Yuan 2021	human
SDK2	up	Yuan 2021	human
SET	up	Yuan 2021	human
SFXN5	up	Yuan 2021	human
SHPRH	up	Yuan 2021	human
SLC25A22	up	Yuan 2021	human
SLC2A8	up	Yuan 2021	human
SLC35B4	up	Yuan 2021	human
SLX4	up	Yuan 2021	human
SMAP2	up	Yuan 2021	human
SMC6	up	Yuan 2021	human
SPIRE1	up	Yuan 2021	human
SPOCK1	up	Yuan 2021	human
SRPK2	up	Yuan 2021	human
SRRM2	up	Yuan 2021	human
SRSF4	up	Yuan 2021	human
SULT4A1	up	Yuan 2021	human
SYAP1	up	Yuan 2021	human
SYPL2	up	Yuan 2021	human
SYTL4	up	Yuan 2021	human
TADA2A	up	Yuan 2021	human
TAF3	up	Yuan 2021	human
TAOK1	up	Yuan 2021	human
TBCCD1	up	Yuan 2021	human
TBK1	up	Yuan 2021	human
TCERG1	up	Yuan 2021	human
TCHP	up	Yuan 2021	human
TERF2IP	up	Yuan 2021	human
TFIP1	up	Yuan 2021	human
TIMM9	up	Yuan 2021	human
TJP1	up	Yuan 2021	human
TLR5	up	Yuan 2021	human
TMEM106B	up	Yuan 2021	human
TMEM150A	up	Yuan 2021	human
TMEM51	up	Yuan 2021	human
TMEM63A	up	Yuan 2021	human
